name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
lw_fac,-0.0423272,0.0345757,-0.111479,0.0268242,-0.0423272,0.00216935,-0.0466659,-0.0379885
sw_fac,-0.0193628,0.0415829,-0.102529,0.0638029,-0.0193628,0.00241749,-0.0241978,-0.0145278
wind_fac,-0.0333025,0.11928,-0.271863,0.205258,-0.0333025,0.00365403,-0.0406105,-0.0259944
ce,-2.77233,0.05347,-2.87927,-2.66539,-2.77233,0.00299207,-2.77832,-2.76635
ch,-2.76433,0.05347,-2.87127,-2.65739,-2.76433,0.00389469,-2.77212,-2.75654
kw,-0.383338,0.25,-0.883338,0.116662,-0.383338,0.00333467,-0.390007,-0.376668
sed_temp_m1,1.00024,0.126287,0.747663,1.25281,1.00024,0.00200802,0.996222,1.00425
sed_temp_m2,1.01365,0.113074,0.787503,1.2398,1.01365,0.00273703,1.00818,1.01913
sed_temp_m3,1.13174,0.099485,0.932766,1.33071,1.13174,0.00293252,1.12587,1.1376
sed_temp_m4,1.32418,0.0950528,1.13407,1.51428,1.32418,0.00319228,1.31779,1.33056
sed_temp_a1,0.422296,0.194538,0.0332208,0.811372,0.422296,0.00328067,0.415735,0.428858
sed_temp_a2,0.652717,0.194538,0.263641,1.04179,0.652717,0.0029461,0.646825,0.658609
sed_temp_a3,0.760551,0.194538,0.371475,1.14963,0.760551,0.0029119,0.754727,0.766375
sed_temp_a4,0.778671,0.194538,0.389595,1.16775,0.778671,0.00384186,0.770987,0.786355
sed_temp_d1,2.42396,0.0118562,2.40025,2.44768,2.42396,0.00264394,2.41868,2.42925
sed_temp_d2,2.43132,0.0118562,2.40761,2.45503,2.43132,0.0022427,2.42684,2.43581
sed_temp_d3,2.44584,0.0118562,2.42213,2.46955,2.44584,0.0024476,2.44094,2.45073
sed_temp_d4,2.44535,0.0118562,2.42164,2.46907,2.44535,0.00380075,2.43775,2.45296
sed_heat_k1,0.141441,0.036532,0.0683773,0.214505,0.141441,0.00320704,0.135027,0.147855
sed_heat_k2,0.113954,0.036532,0.04089,0.187018,0.113954,0.0258992,0.0621555,0.165752
sed_heat_k3,0.104772,0.036532,0.0317079,0.177836,0.104772,0.00364594,0.09748,0.112064
sed_heat_k4,0.104771,0.036532,0.0317073,0.177835,0.104771,0.0258992,0.0529728,0.15657
fsed_oxy1,1.4819,0.194538,1.09282,1.87097,1.4819,0.00340787,1.47508,1.48871
fsed_oxy2,1.2634,0.325257,0.612883,1.91391,1.2634,0.00396687,1.25546,1.27133
fsed_oxy3,1.05209,0.325257,0.401578,1.70261,1.05209,0.00281323,1.04647,1.05772
fsed_oxy4,1.09749,0.325257,0.446978,1.74801,1.09749,0.00405949,1.08937,1.10561
ksed_oxy,1.52776,0.424743,0.678273,2.37724,1.52776,0.00398949,1.51978,1.53574
thsed_oxy,0.0431345,0.0440228,-0.0449111,0.13118,0.0431345,0.000831954,0.0414706,0.0447985
inflow_fac,-0.306759,0.278486,-0.863731,0.250213,-0.306759,0.00380558,-0.31437,-0.299148
