parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,extra,dercom,partied
lw_fac,log,factor,0.9071369064603957,0.8,1.1,catch_scale,1.0,0.0,,1.0,
sw_fac,log,factor,0.9563947174962745,0.75,1.1,catch_scale,1.0,0.0,,1.0,
wind_fac,log,factor,0.9261845587889472,0.5,1.5,catch_scale,1.0,0.0,,1.0,
cd,tied,factor,0.0016891440835838,0.0011,0.0018,catch_scale,1.0,0.0,,1.0,ce
ce,log,factor,0.0016891440835838,0.0011,0.0018,catch_scale,1.0,0.0,,1.0,
ch,log,factor,0.0017205753348071,0.0011,0.0018,catch_scale,1.0,0.0,,1.0,
kw,log,factor,0.4136778243201735,0.1,1.0,catch_scale,1.0,0.0,,1.0,
sed_temp_m1,log,factor,10.00548094651894,5.0,16.0,catch_scale,1.0,0.0,,1.0,
sed_temp_m2,log,factor,10.31933687428112,6.0,17.0,catch_scale,1.0,0.0,,1.0,
sed_temp_m3,log,factor,13.54366432003977,8.0,20.0,catch_scale,1.0,0.0,,1.0,
sed_temp_m4,log,factor,21.09492706368752,10.0,24.0,catch_scale,1.0,0.0,,1.0,
sed_temp_a1,log,factor,2.644212638029731,2.0,12.0,catch_scale,1.0,0.0,,1.0,
sed_temp_a2,log,factor,4.494866806967703,2.0,12.0,catch_scale,1.0,0.0,,1.0,
sed_temp_a3,log,factor,5.761703035993869,2.0,12.0,catch_scale,1.0,0.0,,1.0,
sed_temp_a4,log,factor,6.007182826605779,2.0,12.0,catch_scale,1.0,0.0,,1.0,
sed_temp_d1,log,factor,265.4384063203,260.0,290.0,catch_scale,1.0,0.0,,1.0,
sed_temp_d2,log,factor,269.97375691112,260.0,290.0,catch_scale,1.0,0.0,,1.0,
sed_temp_d3,log,factor,279.15128958696,260.0,290.0,catch_scale,1.0,0.0,,1.0,
sed_temp_d4,log,factor,278.83994021167,260.0,290.0,catch_scale,1.0,0.0,,1.0,
sed_heat_k1,log,factor,1.384973075483304,1.0,1.4,catch_scale,1.0,0.0,,1.0,
sed_heat_k2,log,factor,1.300031808337195,1.0,1.4,catch_scale,1.0,0.0,,1.0,
sed_heat_k3,log,factor,1.272834322515524,1.0,1.4,catch_scale,1.0,0.0,,1.0,
sed_heat_k4,log,factor,1.272832635650362,1.0,1.4,catch_scale,1.0,0.0,,1.0,
fsed_oxy1,log,factor,30.33179875153638,10.0,60.0,catch_scale,-1.0,0.0,,1.0,
fsed_oxy2,log,factor,18.33995016351665,2.0,40.0,catch_scale,-1.0,0.0,,1.0,
fsed_oxy3,log,factor,11.27437907196032,2.0,40.0,catch_scale,-1.0,0.0,,1.0,
fsed_oxy4,log,factor,12.51679495174718,2.0,40.0,catch_scale,-1.0,0.0,,1.0,
ksed_oxy,log,factor,33.70992183856151,1.0,50.0,catch_scale,1.0,0.0,,1.0,
thsed_oxy,log,factor,1.104420727921303,0.8,1.2,catch_scale,1.0,0.0,,1.0,
inflow_fac,log,factor,0.4934473545661622,0.1,1.3,catch_scale,1.0,0.0,,1.0,
outflow_fac,tied,factor,0.4934473545661622,0.1,1.3,catch_scale,1.0,0.0,,1.0,inflow_fac
